Country(or dependency),Population(2020),YearlyChange,NetChange,DensitySquareKm,LandAreaSquareKm,Migrants(net),Fert.Rate,Med.Age,UrbanPop ,WorldShare,NormalisedPopulation
Tuvalu,11817.00,125.00,146.00,393.00,30.00,,N.A.,N.A.,6200.00,0.00,393.9
Wallis & Futuna,11203.00,-169.00,-193.00,80.00,140.00,,N.A.,N.A.,0.00,0.00,80.02142857
Nauru,10836.00,63.00,68.00,541.00,20.00,,N.A.,N.A.,N.A.,0.00,541.8
Saint Barthelemy,9882.00,30.00,30.00,470.00,21.00,,N.A.,N.A.,0.00,0.00,470.5714286
Saint Helena,6080.00,30.00,18.00,16.00,390.00,,N.A.,N.A.,2700.00,0.00,15.58974359
Saint Pierre & Miquelon,5789.00,-48.00,-28.00,25.00,230.00,,N.A.,N.A.,10000.00,0.00,25.16956522
Montserrat,4993.00,6.00,3.00,50.00,100.00,,N.A.,N.A.,1000.00,0.00,49.93
Falkland Islands,3497.00,305.00,103.00,0.00,12170.00,,N.A.,N.A.,6600.00,0.00,0.287345933
Niue,1628.00,68.00,11.00,6.00,260.00,,N.A.,N.A.,4600.00,0.00,6.261538462
Tokelau,1360.00,127.00,17.00,136.00,10.00,,N.A.,N.A.,0.00,0.00,136
Holy See,801.00,25.00,2.00,2003.00,0.00,,N.A.,N.A.,N.A.,0.00,#DIV/0!
