Country Name,Continent,Population,Populationgrowthrate,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,Med.Age,UrbanPop,World Share,Normalised Population
Botswana,Africa,"2,249,104",1.52,Botswana,"2,359,585.00",208,"47,930.00",4,"566,730.00","3,000.00",2.9,24,7300,3,4.16
Gabon,Africa,"2,119,036",3,Gabon,"2,234,448",245,"53,155.00",9,"257,670.00","3,260.00",4,23,8700,3,8.67
Lesotho,Africa,"1,962,461",0,Lesotho,"2,145,194",80,"16,981.00",71,"30,360.00","-10,047.00",3.2,24,3100,3,70.66
null,null,null,null,North Macedonia,"2,083,359",0,-85,83,"25,220.00","-1,000.00",1.5,39,5900,3,82.61
Slovenia,Europe,"2,102,126",0.03,Slovenia,"2,078,989.00",1,284,103,"20,140.00","2,000.00",1.6,45,5500,3,103.23
Guinea-Bissau,Africa,"1,833,247",2,Guinea-Bissau,"1,975,718",245,"47,079.00",70,"28,120.00","-1,399.00",4.5,19,4500,3,70.26
Latvia,Europe,"1,923,559",-1.1,Latvia,"1,882,408",-108,"-20,545.00",30,"62,200.00","-14,837.00",1.7,44,6900,2,30.26
Bahrain,Asia,"1,442,659",2,Bahrain,"1,711,057",368,"60,403.00","2,239.00",760,"47,800.00",2,32,8900,2,"2,251.39"
null,null,null,null,Equatorial Guinea,"1,410,419",347,"46,999.00",50,"28,050.00","16,000.00",4.6,22,7300,2,50.28
Trinidad and Tobago,North America,"1,215,527",-0.23,Trinidad and Tobago,"1,400,283.00",32,"4,515.00",273,"5,130.00",-800,1.7,36,5200,2,272.96
Estonia,Europe,"1,244,288",-0.6,Estonia,"1,326,693.00",7,887,31,"42,390.00","3,911.00",1.6,42,6800,2,31.3
Timor-Leste,Asia,"1,321,929",2,Timor-Leste,"1,322,667",196,"25,326.00",89,"14,870.00","-5,385.00",4.1,21,3300,2,88.95
Mauritius,Africa,"1,364,283",0.57,Mauritius,"1,272,140",17,"2,100.00",626,"2,030.00",0,1.4,37,4100,2,626.67
Cyprus,Asia,"1,237,088",1.27,Cyprus,"1,208,886",73,"8,784.00",131,"9,240.00","5,000.00",1.3,37,6700,2,130.83
null,null,null,null,Eswatini,"1,162,233",105,"12,034.00",67,"17,200.00","-8,353.00",3,21,3000,1,67.57
Djibouti,Africa,"884,017",2.13,Djibouti,"990,447.00",148,"14,440.00",43,"23,180.00",900,2.8,27,7900,1,42.73
Fiji,Oceania,"926,276",0.56,Fiji,"897,573",73,"6,492.00",49,"18,270.00","-6,202.00",2.8,28,5900,1,49.13
null,null,null,null,Réunion,"896,422",72,"6,385.00",358,"2,500.00","-1,256.00",2.3,36,10000,1,358.57
Comoros,Africa,"821,164",1.57,Comoros,"872,695.00",220,"18,715.00",467,"1,861.00","-2,000.00",4.2,20,2900,1,468.94
Guyana,South America,"740,685",0.48,Guyana,"787,215",48,"3,786.00",4,"196,850.00","-6,000.00",2.5,27,2700,1,4
Bhutan,Asia,"766,397",1.05,Bhutan,"773,069",112,"8,516.00",20,"38,117.00",320,2,28,4600,1,20.28
Solomon Islands,Oceania,"660,121",2,Solomon Islands,"689,671",255,"17,061.00",25,"27,990.00","-1,600.00",4.4,20,2300,1,24.64
null,null,null,null,Macao,"650,846",139,"8,890.00","21,645.00",30,"5,000.00",1.2,39,N.A.,1,"21,694.87"
Montenegro,Europe,"614,249",-0.34,Montenegro,"628,080.00",1,79,47,"13,450.00",-480,1.8,39,6800,1,46.7
Luxembourg,Europe,"605,764",2,Luxembourg,"627,704",166,"10,249.00",242,"2,590.00","9,741.00",1.5,40,8800,1,242.36
Western Sahara,Africa,"619,551",3,Western Sahara,"599,769",255,"14,876.00",2,"266,000.00","5,582.00",2.4,28,8700,1,2.25
Suriname,South America,"597,927",1,Suriname,"587,541",90,"5,260.00",4,"156,000.00","-1,000.00",2.4,29,6500,1,3.77
Cabo Verde,Africa,"568,373",1.32,Cabo Verde,"557,026",110,"6,052.00",138,"4,030.00","-1,342.00",2.3,28,6800,1,138.22
Maldives,Asia,"392,473",-0.06,Maldives,"542,151",181,"9,591.00","1,802.00",300,"11,370.00",1.9,30,3500,1,"1,807.17"
Malta,Europe,"449,043",0.99,Malta,"441,750",27,"1,171.00","1,380.00",320,900,1.5,43,9300,1,"1,380.47"
Brunei,Asia,"450,565",2,Brunei,"438,202",97,"4,194.00",83,"5,270.00",0,1.8,32,8000,1,83.15
null,null,null,null,Guadeloupe,"400,136",2,68,237,"1,690.00","-1,440.00",2.2,44,N.A.,1,236.77
Belize,North America,"385,854",1.8,Belize,"398,845.00",186,"7,275.00",17,"22,810.00","1,200.00",2.3,25,4600,1,17.49
